,id,first_name,last_name,gender,City,Job Title,Salary,Latitude,Longitude,clean_salary,rank
0,1,Melinde,Shilburne,Female,Nowa Ruda,Assistant Professor,$57438.18,50.5774075,16.496718400000002,57438.18,486.0
1,2,Kimberly,Von Welden,Female,Bulgan,Programmer II,$62846.60,48.823157200000004,103.5218199,62846.6,429.0
2,3,Alvera,Di Boldi,Female,,,$57576.52,39.99474620000001,116.33977250000001,57576.52,485.0
3,4,Shannon,O'Griffin,Male,Divnomorskoye,Budget/Accounting Analyst II,$61489.23,44.504721200000006,38.1300171,61489.23,444.0
4,5,Sherwood,Macieja,Male,Mytishchi,VP Sales,$63863.09,,37.6489954,63863.09,411.0
5,6,Maris,Folk,Female,Kinsealy-Drinan,Civil Engineer,$30101.16,53.4266145,-6.1644997,30101.16,778.0
6,7,Masha,Divers,Female,Dachun,,$25090.87,24.879416,118.93011100000001,25090.87,843.0
7,8,Goddart,Flear,Male,Trélissac,Desktop Support Technician,$46116.36,45.1905186,0.7423124,46116.36,601.0
8,9,Roth,O'Cannavan,Male,Heitan,VP Product Management,$73697.10,32.027934,106.657113,73697.1,291.0
9,10,Bran,Trahear,Male,Arbeláez,Mechanical Systems Engineer,$68098.42,4.272793,-74.416014,68098.42,361.0
10,11,Kylynn,Lockart,Female,El Cardo,Nuclear Power Engineer,$13604.63,-5.85,-79.8833329,13604.63,966.0
11,12,Rey,Meharg,Female,Wangqingtuo,Systems Administrator I,$73423.70,39.172378,116.931607,73423.7,293.0
12,13,Kerr,Braden,Male,Sułkowice,Compensation Analyst,$33432.99,49.8151822,19.377174899999996,33432.99,746.0
13,14,Mickie,Whanstall,Male,Springfield,Assistant Media Planner,$50838.53,42.1014803,-72.57667590000001,50838.53,559.0
14,15,Kaspar,Pally,Male,Chrást,Analyst Programmer,$40163.03,49.7923299,13.491532399999999,40163.03,672.0
15,16,Norbie,Gwyllt,Male,Xijiao,Editor,$32492.73,43.494573700000004,5.8978018,32492.73,757.0
16,17,Claude,Briant,Female,Mieścisko,Research Assistant II,$51862.48,52.7441662,17.327863699999998,51862.48,553.0
17,18,Thain,Habbon,Male,Foros do Trapo,Design Engineer,$42135.67,38.696249,-8.7098337,42135.67,647.0
18,19,Tiffanie,Pattison,Female,Jabungsisir,Senior Financial Analyst,$91925.08,-7.723256699999999,113.46868020000001,91925.08,97.0
